,song_id,artist_name,track_name,popularity,year
205,0kzw2tRyuL9rzipi5ntlIy,WALK THE MOON,Shut Up and Dance,81,2019
206,0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me,82,2019
207,7t2bFihaDvhIrd2gn2CWJO,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",77,2019
208,6sy3LkhNFjJWlaeSMNwQ62,OneRepublic,Counting Stars,73,2019
209,13HVjjWUZFaWilh2QUJKsP,James Bay,Let It Go,73,2019
210,1almCHdsfikRPfVB9VrEdT,Alex & Sierra,Little Do You Know,78,2019
211,6vECYJHxYmm3Ydt3fF01pE,Milky Chance,Stolen Dance,72,2019
212,7795WJLVKJoAyVoOtCWqXN,Sam Smith,I'm Not The Only One,82,2019
213,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,Thinking out Loud,82,2019
214,4L2K7JKseFCBoHMZEAszW0,Labrinth,Jealous,78,2019
215,16qYlQ6koFxYVbiJbGHblz,J. Cole,G.O.M.D.,74,2019
216,5NhlpQ6BOIz3S5welptk1W,Childish Gambino,Sober,72,2019
217,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,Photograph,83,2019
218,7xoUc6faLbCqZO6fQEYprd,Ariana Grande,One Last Time,79,2019
219,1TwLKNsCnhi1HxbIi4bAW0,Sam Hunt,House Party,70,2019
220,5Hroj5K7vLpIG4FNCRIjbP,American Authors,Best Day Of My Life,76,2019
221,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,Say Something,77,2019
222,1MJ5f5EYBC92ADD6xcz7nb,Mac DeMarco,Chamber Of Reflection,73,2019
223,19gEmPjfqSZT0ulDRfjl0m,Bobby Shmurda,Hot N*gga,73,2019
224,6jmTHeoWvBaSrwWttr8Xvu,G-Eazy,I Mean It (feat. Remo),73,2019
225,6WkJ2OK163XXS2oARUC9JM,Aaron Smith,Dancin (feat. Luvli) - Krono Remix,83,2019
226,5S5rw0WLVCAux5B5bWCehK,Rascal Flatts,I Like The Sound Of That,69,2019
227,60nZcImufyMA1MKQY3dcCH,Pharrell Williams,"Happy - From ""Despicable Me 2""",79,2019
228,2bJvI42r8EF3wxjOuDav4r,Pitbull,Time of Our Lives,76,2019
229,1oew3nFNY3vMacJAsvry0S,Rixton,Me And My Broken Heart,76,2019
230,1DunhgeZSEgWiIYbHqXl0c,Disclosure,Latch,68,2019
231,0SIAFU49FFHwR3QnT5Jx0k,SALES,Chinese New Year,72,2019
232,0puf9yIluy9W0vpMEUoAnN,Jessie J,Bang Bang,77,2019
233,0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,79,2019
234,5SsR3wtCOafDmZgvIdRhSm,ScHoolboy Q,Man Of The Year,71,2019
235,5aj0xPGiEUN3aI2oOYu14S,Lee Brice,I Don't Dance,69,2019
236,1C042FLYy7rP3MfnkOcnha,Hozier,Cherry Wine - Live,68,2019
237,0zO8ctW0UiuOefR87OeJOZ,ScHoolboy Q,Collard Greens,71,2019
238,6YUTL4dYpB9xZO5qExPf05,Calvin Harris,Summer,78,2019
239,1gugDOSMREb34Xo0c1PlxM,5 Seconds of Summer,She Looks So Perfect,68,2019
240,1Qi2wh8fFgDV7tl4Sj3f2K,Sam Smith,Have Yourself A Merry Little Christmas,75,2019
241,11qh54D0PKkBwelpDxxiEU,Little Big Town,Girl Crush,69,2019
242,7aftSOGSOpSoIlVAQVBb71,Sam Hunt,Break Up In A Small Town,68,2019
243,1JCCdiru7fhstOIF4N7WJC,5 Seconds of Summer,Amnesia,68,2019
244,1dgWTMoHwTUnQhOQ8SR5fV,Kenny Chesney,American Kids,68,2019
245,6HfOzLLjsaXsehIFEsrxTk,Young Money,Trophies,71,2019
246,5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,75,2019
247,1kHEuJRasudLhjvnbfc4yS,Taylor Swift,Blank Space,68,2019
248,4gkl7QbQvBd3TM9PhlWFkI,J. Cole,Love Yourz,69,2019
249,5BrTUo0xP1wKXLJWUaGFtk,Chris Brown,Loyal (feat. Lil Wayne & Tyga),74,2019
250,6K4t31amVTZDgR3sKmwUJJ,Tame Impala,The Less I Know The Better,84,2019
251,3pXF1nA74528Edde4of9CC,Bryson Tiller,Don't,79,2019
252,43PuMrRfbyyuz4QpZ3oAwN,Bryson Tiller,Exchange,78,2019
253,7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,83,2019
254,3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,Tennessee Whiskey,77,2019
255,6y6jbcPG4Yn3Du4moXaenr,blackbear,Idfc,80,2019
256,0y60itmpH0aPKsFiGxmtnh,WILLOW,Wait a Minute!,78,2019
257,0QZ5yyl6B6utIWkxeBDxQN,Lord Huron,The Night We Met,74,2019
258,6GnhWMhgJb7uyiiPEiEkDA,Mac Miller,Weekend (feat. Miguel),76,2019
259,5kNe7PE09d6Kvw5pAsx23n,Thomas Rhett,Die A Happy Man,74,2019
260,67iF3DdebmElASIGoebYt1,White Noise Meditation,Brown Noise - Loopable with No Fade,74,2019
261,0PJIbOdMs3bd5AT8liULMQ,Jeremih,oui,76,2019
262,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Stressed Out,82,2019
263,0PXp9QxBfSKGGpWUNaws2X,Roy Woods,Drama (feat. Drake),75,2019
264,1Ser4X0TKttOvo8bgdytTP,Rae Sremmurd,Come Get Her,76,2019
265,2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,Electric Love,74,2019
266,32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,Uptown Funk,81,2019
267,2Z8WuEywRWYTKe1NybPQEW,Twenty One Pilots,Ride,81,2019
268,2JzZzZUQj3Qff7wapcbKjc,Wiz Khalifa,See You Again (feat. Charlie Puth),80,2019
269,04aAxqtGp5pv12UXAg4pkq,Fall Out Boy,Centuries,79,2019
270,1wHZx0LgzFHyeIZkUydNXq,Travis Scott,Antidote,76,2019
271,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,82,2019
272,0prNGof3XqfTvNDxHonvdK,Alessia Cara,Scars To Your Beautiful,72,2019
273,7FYH5AW3bVfZHJIQpq3UOA,Big Sean,I Don't Fuck With You,75,2019
274,5XAPpyIoYF3QXP34Hv8Pvx,$uicideBoy$,Kill Yourself (Part III),76,2019
275,22VdIZQfgXJea34mQxlt81,The Weeknd,Can't Feel My Face,79,2019
276,2d8JP84HNLKhmd6IYOoupQ,Fetty Wap,Trap Queen,73,2019
277,7lGKEWMXVWWTt3X71Bv44I,X Ambassadors,Unsteady,76,2019
278,2iuZJX9X9P0GKaE93xcPjk,Maroon 5,Sugar,80,2019
279,27GmP9AWRs744SzKcpJsTZ,Drake,Jumpman,75,2019
280,78TTtXnFQPzwqlbtbwqN0y,Rihanna,FourFiveSeconds,78,2019
281,5tsI3xxDHDgzHhn30LTQNz,Mike Stud,These Days,73,2019
282,4S7YHmlWwfwArgd8LfSPud,A$AP Rocky,L$D,74,2019
283,4jTiyLlOJVJj3mCr7yfPQD,Rae Sremmurd,This Could Be Us,74,2019
284,5NQbUaeTEOGdD6hHcre0dZ,Fetty Wap,679 (feat. Remy Boyz),74,2019
285,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,Sorry,80,2019
286,34oWbFBfGEElvgO0a5c9V4,Kodak Black,No Flockin',71,2019
287,3I7krC8kr0gFR7P6vInR1I,Billy Currington,Do I Make You Wanna,71,2019
288,4PhsKqMdgMEUSstTDAmMpg,The Weeknd,Often,75,2019
289,1Lim1Py7xBgbAkAys3AGAG,Major Lazer,Lean On,72,2019
290,4irYeuAi87yyGHcI4h9s0x,$uicideBoy$,Paris,74,2019
291,3iVcZ5G6tvkXZkZKlMpIUs,Kendrick Lamar,Alright,72,2019
292,40YcuQysJ0KlGQTeGUosTC,G-Eazy,"Me, Myself & I",76,2019
293,0jllH0usRFD4LJkJnGK9Lf,Olivia O'Brien,Complicated,76,2019
294,4NYwy0R3NdvORX2B6OZXBT,Trey Songz,Slow Motion,72,2019
295,51EC3I1nQXpec4gDk0mQyP,Travis Scott,90210 (feat. Kacy Hill),72,2019
296,5rgrBsAFYMun6yhtnLKRPz,Bryson Tiller,Right My Wrongs,71,2019
297,56twMOlq9DJc3EgpVUVIrW,Demi Lovato,Stone Cold,77,2019
298,5jsw9uXEGuKyJzs0boZ1bT,Shawn Mendes,Stitches,73,2019
299,0H04yVa3DJxoXbLBpAb7iV,Chris Young,I'm Comin' Over,70,2019
300,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart,83,2019
301,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,85,2019
